season,constructorName,points,wins,position,donor_pool
2017,ALPINE,57.0,0,6,main
2017,HAAS,47.0,0,8,main
2017,SAUBER,5.0,0,10,main
2018,ALPINE,122.0,0,4,main
2018,HAAS,93.0,0,6,main
2018,SAUBER,48.0,0,8,main
2019,ALPINE,91.0,0,5,main
2019,SAUBER,57.0,0,8,main
2019,HAAS,28.0,0,9,main
2020,ALPINE,181.0,0,5,main
2020,SAUBER,8.0,0,8,main
2020,HAAS,3.0,0,9,main
2021,ALPINE,155.0,1,5,main
2021,SAUBER,13.0,0,9,main
2021,HAAS,0.0,0,10,main
2022,ALPINE,173.0,0,4,main
2022,SAUBER,55.0,0,6,main
2022,HAAS,37.0,0,8,main
2023,ALPINE,120.0,0,6,main
2023,SAUBER,16.0,0,9,main
2023,HAAS,12.0,0,10,main
2024,ALPINE,65.0,0,6,main
2024,HAAS,58.0,0,7,main
2024,SAUBER,4.0,0,10,main
